355.04%,817MiB / 23.68GiB,3.37%
354.46%,930.6MiB / 23.68GiB,3.84%
353.03%,931.8MiB / 23.68GiB,3.84%
352.11%,931.8MiB / 23.68GiB,3.84%
328.32%,931.1MiB / 23.68GiB,3.84%
334.07%,932.1MiB / 23.68GiB,3.84%
332.41%,932.2MiB / 23.68GiB,3.84%
336.13%,932.1MiB / 23.68GiB,3.84%
328.78%,932.2MiB / 23.68GiB,3.84%
333.55%,932MiB / 23.68GiB,3.84%
332.96%,933.1MiB / 23.68GiB,3.85%
260.11%,932.1MiB / 23.68GiB,3.84%
336.69%,933.4MiB / 23.68GiB,3.85%
314.83%,933.9MiB / 23.68GiB,3.85%
329.55%,933.4MiB / 23.68GiB,3.85%
348.88%,934.3MiB / 23.68GiB,3.85%
351.19%,933.9MiB / 23.68GiB,3.85%
351.45%,933.9MiB / 23.68GiB,3.85%
342.29%,933.8MiB / 23.68GiB,3.85%
230.11%,934.1MiB / 23.68GiB,3.85%
352.28%,934.3MiB / 23.68GiB,3.85%
340.17%,933.7MiB / 23.68GiB,3.85%
342.02%,934.7MiB / 23.68GiB,3.85%
353.15%,934.1MiB / 23.68GiB,3.85%
226.65%,934.8MiB / 23.68GiB,3.86%
338.18%,934.1MiB / 23.68GiB,3.85%
340.53%,935.1MiB / 23.68GiB,3.86%
338.21%,935.2MiB / 23.68GiB,3.86%
351.23%,934.7MiB / 23.68GiB,3.85%
291.37%,935MiB / 23.68GiB,3.86%
